ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-49304,Source2,3,2016-07-15 20:19:51,2016-07-15 21:04:51,34.149296,-118.46894099999999,,,0.0,Right hand shoulder blocked due to accident on I-405 Northbound near Exits 63A 63B Ventura Blvd.,I-405 N,Sherman Oaks,Los Angeles,CA,91403,US,US/Pacific,KVNY,2016-07-15 19:51:00,80.1,,35.0,29.85,10.0,East,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-53746,Source2,3,2016-12-03 06:44:50,2016-12-03 07:29:39,34.164516,-118.29656999999999,,,0.01,Accident on I-5 Northbound before Exit 145A Western Ave.,Golden State Fwy S,Glendale,Los Angeles,CA,91201,US,US/Pacific,KBUR,2016-12-03 06:53:00,48.9,,22.0,30.07,10.0,ESE,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-55302,Source2,2,2016-12-09 20:51:55,2016-12-09 21:36:35,34.267681,-118.48476399999998,,,0.01,#2 lane blocked due to accident on CA-118 Eastbound before Exit 41 Woodley Ave.,CA-118 E,Granada Hills,Los Angeles,CA,91344,US,US/Pacific,KVNY,2016-12-09 20:51:00,55.9,,97.0,30.16,10.0,Calm,,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-62728,Source2,3,2017-01-13 22:13:59,2017-01-13 22:58:46,34.055695,-118.45196499999999,,,0.01,Accident on I-405 Northbound at Exits 55B 55C Wilshire Blvd.,I-405 N,Los Angeles,Los Angeles,CA,90025,US,US/Pacific,KSMO,2017-01-13 21:51:00,53.1,,69.0,30.04,10.0,East,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-66393,Source2,2,2016-10-23 14:49:10,2016-10-23 15:33:49,34.002026,-117.834892,,,0.01,Accident on CA-57 Southbound at Exits 16 24A CA-60.,CA-57 S,Diamond Bar,Los Angeles,CA,91765,US,US/Pacific,KPOC,2016-10-23 18:47:00,64.4,,94.0,30.03,7.0,East,4.6,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-72446,Source2,2,2016-11-15 21:31:39,2016-11-15 22:16:28,34.030052000000005,-117.70313999999999,,,0.01,Entry ramp closed due to accident and spillage on CA-60 Eastbound at Exit 32 Ramona Ave.,Pomona Fwy E,Chino,San Bernardino,CA,91710,US,US/Pacific,KCNO,2016-11-15 21:53:00,57.0,,81.0,29.97,5.0,Calm,,,Haze,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-77892,Source2,3,2016-09-17 14:49:05,2016-09-17 15:49:05,33.802822,-118.136223,,,0.0,Accident on I-405 Southbound at Exit 27 Willow St.,San Diego Fwy S,Long Beach,Los Angeles,CA,90815,US,US/Pacific,KLGB,2016-09-17 14:53:00,84.0,,32.0,29.89,10.0,NW,10.4,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-85363,Source2,2,2016-10-19 20:24:55,2016-10-19 21:09:33,33.988033,-118.37031599999999,,,0.01,Accident on La Cienega Blvd near Slauson Ave.,S La Cienega Blvd,Los Angeles,Los Angeles,CA,90056,US,US/Pacific,KLAX,2016-10-19 20:53:00,81.0,,13.0,29.93,10.0,North,6.9,,Clear,False,False,False,False,False,False,False,False,True,False,False,False,False,Night,Night,Night,Night
A-85970,Source2,3,2016-08-02 18:16:54,2016-08-02 19:01:54,33.891068,-118.36131999999999,,,0.0,Right hand shoulder blocked due to accident on I-405 Northbound near Exit 42B Inglewood Ave.,I-405 N,Lawndale,Los Angeles,CA,90260,US,US/Pacific,KHHR,2016-08-02 17:53:00,75.0,,66.0,29.92,10.0,West,13.8,,Clear,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-95170,Source2,3,2016-09-04 13:00:11,2016-09-04 13:30:11,34.150673,-118.46826200000001,,,0.0,Accident on I-405 Northbound at Exits 63A 63B Ventura Blvd.,I-405 N,Sherman Oaks,Los Angeles,CA,91403,US,US/Pacific,KVNY,2016-09-04 12:51:00,73.9,,48.0,29.82,10.0,Calm,,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-100599,Source2,3,2016-04-07 16:49:23,2016-04-07 17:49:23,33.666409,-117.303352,,,0.0,Right hand shoulder blocked due to accident on I-15 Northbound near Exit 73 Railroad Canyon Rd.,I-15 N,Lake Elsinore,Riverside,CA,92530,US,US/Pacific,KF70,2016-04-07 16:55:00,68.0,,43.0,29.92,10.0,North,4.6,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-102482,Source2,2,2016-04-18 03:50:55,2016-04-18 04:50:55,34.152931,-118.33036799999999,,,0.01,Right hand shoulder blocked due to accident on CA-134 Eastbound at Exit 3 Bob Hope Dr.,Bob Hope Dr,Burbank,Los Angeles,CA,91523,US,US/Pacific,KBUR,2016-04-18 03:53:00,59.0,,38.0,29.97,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-103990,Source2,2,2016-04-22 22:14:42,2016-04-22 22:44:42,34.098053,-118.31796999999999,,,0.01,Accident on Bronson Ave Northbound at Sunset Blvd.,N Bronson Ave,Los Angeles,Los Angeles,CA,90028-8417,US,US/Pacific,KCQT,2016-04-22 21:47:00,63.0,,67.0,29.99,10.0,Calm,,,Clear,True,False,True,False,False,False,False,False,True,False,False,True,False,Night,Night,Night,Night
A-114029,Source2,2,2016-06-10 18:32:14,2016-06-10 19:17:14,34.022442,-117.550156,,,0.0,Right hand shoulder blocked due to accident on CA-60 Eastbound near Exit 41B I-15.,I-15 N,Mira Loma,Riverside,CA,91752,US,US/Pacific,KRAL,2016-06-10 18:53:00,78.1,,46.0,29.81,10.0,West,12.7,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-115899,Source2,2,2016-06-20 09:44:49,2016-06-20 10:29:00,34.198353000000004,-117.44564799999999,,,0.0,Accident on Lytle Creek Rd both ways in San Bernardino.,Lytle Creek Rd,Mt Baldy,San Bernardino,CA,91759,US,US/Pacific,KPOC,2016-06-20 13:47:00,107.6,,10.0,29.91,10.0,West,12.7,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-122292,Source2,2,2017-01-12 13:05:27,2017-01-12 14:05:06,28.611859999999997,-81.207695,,,0.0,Lane blocked due to accident on FL-434 Alafaya Trl Northbound at Alafaya Trl.,N Alafaya Trl,Orlando,Orange,FL,32817,US,US/Eastern,KORL,2017-01-12 12:53:00,79.0,,48.0,30.36,10.0,ENE,9.2,,Scattered Clouds,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-126384,Source2,3,2016-11-07 08:56:47,2016-11-07 09:26:33,26.839661,-80.10174599999998,,,0.01,Accident on I-95 Northbound at Exits 79 79A 79B FL-786 PGA Blvd.,I-95 N,Palm Beach Gardens,Palm Beach,FL,33410,US,US/Eastern,KPBI,2016-11-07 08:53:00,77.0,,56.0,30.17,10.0,ENE,12.7,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-132382,Source2,3,2016-09-27 09:47:02,2016-09-27 10:31:36,28.468769,-81.458549,,,0.0,Accident on I-4 Westbound at Exits 74A 74B 75A 75B FL-435 Kirkman Rd.,S Kirkman Rd,Orlando,Orange,FL,32819,US,US/Eastern,KMCO,2016-09-27 09:53:00,80.1,,76.0,29.95,10.0,WSW,4.6,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-134595,Source2,2,2016-10-14 08:55:25,2016-10-14 09:24:49,27.922962,-82.401878,,,0.01,Heavy traffic due to accident on Causeway Blvd at US-41 50th St.,S 50th St,Tampa,Hillsborough,FL,33619,US,US/Eastern,KTPF,2016-10-14 08:55:00,77.0,,78.0,30.14,10.0,NE,10.4,,Clear,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-135689,Source2,2,2016-08-02 09:54:33,2016-08-02 10:39:33,28.537946999999996,-81.347687,,,0.0,Accident on Primrose Dr at Anderson St.,S Primrose Dr,Orlando,Orange,FL,32803-6722,US,US/Eastern,KORL,2016-08-02 09:53:00,84.9,,74.0,30.14,10.0,SSW,4.6,,Clear,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-136336,Source2,2,2016-08-08 09:01:01,2016-08-08 10:01:01,27.521735999999997,-82.528275,,,0.0,Accident on US-301 at Leffingwell Ave.,Leffingwell Ave,Ellenton,Manatee,FL,34222-2223,US,US/Eastern,KSRQ,2016-08-08 09:53:00,84.9,,69.0,29.96,10.0,SW,8.1,,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-148861,Source2,2,2017-01-10 18:08:51,2017-01-10 18:38:07,34.17078,-82.080116,,,0.01,Accident on SC-34 Ninety Six Hwy at County Farm Rd.,County Farm Rd,Greenwood,Greenwood,SC,29646-9078,US,US/Eastern,KGRD,2017-01-10 17:56:00,48.9,,56.0,30.4,10.0,SSE,3.5,,Partly Cloudy,False,False,False,False,False,False,False,False,False,True,False,False,False,Night,Night,Day,Day
A-149750,Source2,2,2017-01-24 14:04:40,2017-01-24 14:46:29,33.526508,-81.77421600000002,,,0.0,Accident on SC-87 Pine Log Rd at Kemper Downs Dr.,Kemper Downs Dr,Aiken,Aiken,SC,29803-1704,US,US/Eastern,KAIK,2017-01-24 13:55:00,62.6,,45.0,29.78,10.0,West,10.4,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-154394,Source2,2,2016-10-06 15:41:42,2016-10-06 16:11:22,33.467957,-82.07803299999998,,,0.0,Accident on Wrightsboro Rd at Marks Church Rd.,Wrightsboro Rd,Augusta,Richmond,GA,30909-2593,US,US/Eastern,KDNL,2016-10-06 15:53:00,84.0,,43.0,30.05,10.0,NNE,15.0,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-159761,Source2,2,2016-07-27 16:11:27,2016-07-27 16:56:27,32.207813,-83.18630999999998,,,0.0,Accident on 16th St at Main St.,16th St,Eastman,Dodge,GA,31023,US,US/Eastern,KEZM,2016-07-27 16:15:00,94.8,,25.0,30.05,10.0,West,6.9,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-161019,Source2,3,2016-12-06 18:55:37,2016-12-06 19:40:05,41.592696999999994,-93.69381,,,1.01,Right hand shoulder blocked due to accident on I-235 Westbound between Exit 5B 42nd St and Exit 5A 56th St.,I-235 W,Des Moines,Polk,IA,50312,US,US/Central,KDSM,2016-12-06 18:54:00,28.0,19.3,56.0,30.05,10.0,West,9.2,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-166717,Source2,2,2016-05-26 15:00:13,2016-05-26 15:30:13,41.257313,-95.902023,,,0.01,Accident on 35th St at 5th Ave.,S 35th St,Council Bluffs,Pottawattamie,IA,51501,US,US/Central,KOMA,2016-05-26 14:52:00,81.0,,49.0,29.72,10.0,ENE,9.2,,Mostly Cloudy,False,False,True,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day
A-167219,Source2,2,2016-06-16 20:45:35,2016-06-16 21:30:35,41.13865300000001,-95.946373,,,0.0,Accident on NE-370 Westbound at 25th St.,Highway 370,Bellevue,Sarpy,NE,68123,US,US/Central,KOFF,2016-06-16 20:58:00,86.2,,62.0,29.81,10.0,ESE,8.1,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-170229,Source2,2,2016-10-21 08:53:27,2016-10-21 09:37:00,42.036293,-88.287109,,,0.01,Accident on IL-31 State St Northbound at IL-58 Highland Ave.,S State St,Elgin,Kane,IL,60123-6340,US,US/Central,KDPA,2016-10-21 08:52:00,45.0,39.3,68.0,30.21,10.0,North,11.5,,Clear,False,False,False,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day
A-172904,Source2,3,2016-09-16 07:47:51,2016-09-16 08:17:51,38.503555,-90.338707,,,0.0,3 right lane closed due to accident on I-55 Northbound before I-255 Exits 1A 1B.,I-255 W,Saint Louis,St. Louis County,MO,63128,US,US/Central,KCPS,2016-09-16 07:53:00,72.0,,91.0,30.02,4.0,Variable,4.6,0.1,Light Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-180162,Source2,2,2016-12-13 15:25:08,2016-12-13 15:54:47,42.801528999999995,-83.836388,,,0.0,Accident on Pineview Lake Dr at Seymour Rd.,Seymour Rd,Linden,Genesee,MI,48451-9774,US,US/Eastern,KFNT,2016-12-13 15:53:00,21.0,7.1,68.0,30.05,10.0,West,16.1,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-181234,Source2,2,2016-12-21 12:26:25,2016-12-21 12:56:15,42.9282,-83.63086700000002,,,0.01,Accident on Saginaw St at Old Bridge Rd.,S Saginaw St,Grand Blanc,Genesee,MI,48439-1268,US,US/Eastern,KFNT,2016-12-21 12:53:00,30.0,22.4,82.0,30.15,9.0,SW,8.1,,Overcast,False,False,False,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day
A-200261,Source2,3,2017-01-13 16:38:19,2017-01-13 17:45:00,42.549191,-71.477959,,,0.01,Breakdown lane blocked due to accident on I-495 Southbound before Exit 31 MA-119 Great Rd.,I-495 N,Littleton,Middlesex,MA,01460,US,US/Eastern,KBED,2017-01-13 16:56:00,36.0,26.0,24.0,30.5,10.0,NW,17.3,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-202491,Source2,3,2016-10-24 15:22:43,2016-10-24 16:07:24,41.50986500000001,-74.074226,,,0.01,Left lane blocked due to accident on I-87 Southbound at I-87 Exit 17 / NY-17K.,New York Trwy N,Newburgh,Orange,NY,12550,US,US/Eastern,KSWF,2016-10-24 15:45:00,53.6,,58.0,29.95,20.0,WNW,23.0,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-202688,Source2,2,2016-10-26 06:32:24,2016-10-26 07:01:13,40.746971,-74.061813,,,0.01,Right lane blocked and delays due to accident on US-1 US-9 Tonnelle Ave Northbound at County Hwy-653 Manhattan Ave.,Tonnele Ave,Jersey City,Hudson,NJ,07307-4446,US,US/Eastern,KNYC,2016-10-26 06:51:00,39.0,,62.0,30.41,10.0,Calm,,,Clear,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day
A-209366,Source2,3,2016-09-25 11:34:06,2016-09-25 12:18:43,40.85038400000001,-74.425682,,,0.0,Accident on I-287 Southbound at Exits 40 40A 40B County Hwy-511 Parsippany Rd.,Parsippany Rd,Parsippany,Morris,NJ,07054,US,US/Eastern,KMMU,2016-09-25 11:45:00,64.4,,34.0,30.2,10.0,NW,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-211924,Source2,2,2016-10-17 06:57:41,2016-10-17 07:27:32,42.267609,-71.15014599999998,,,0.01,Accident on Washington St near Boundary Rd.,Washington St,West Roxbury,Suffolk,MA,02132-4727,US,US/Eastern,KMQE,2016-10-17 06:54:00,57.9,,90.0,29.94,,West,12.7,,,False,False,True,False,False,False,False,False,True,False,False,True,False,Night,Day,Day,Day
A-212048,Source2,2,2016-10-17 22:09:26,2016-10-17 22:38:51,41.085175,-74.512596,,,0.01,Multi-vehicle accident on NJ-23 both ways around County Hwy-515 Stockholm Vernon Rd.,State Route 23,Stockholm,Sussex,NJ,07460,US,US/Eastern,KFWN,2016-10-17 21:53:00,60.1,,96.0,29.91,8.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-221522,Source2,2,2016-07-18 15:00:43,2016-07-18 16:15:43,39.765087,-84.20134,,,0.0,Accident on Riverview Ave at Belmonte Park.,W Riverview Ave,Dayton,Montgomery,OH,45405-4701,US,US/Eastern,KDAY,2016-07-18 14:56:00,84.0,,61.0,30.17,10.0,West,15.0,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-224524,Source2,2,2016-11-20 14:10:06,2016-11-20 14:39:48,39.782383,-84.225525,,,0.01,Accident on Salem Ave at Catalpa Dr.,Catalpa Dr,Dayton,Montgomery,OH,45406,US,US/Eastern,KDAY,2016-11-20 13:56:00,34.0,22.4,61.0,30.23,10.0,WNW,20.7,,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-225444,Source2,3,2016-09-29 16:08:16,2016-09-29 17:37:42,39.980824,-82.95649,,,0.0,Right lane blocked due to accident on I-670 Westbound before Exit 6 Leonard Ave.,Leonard Ave,Columbus,Franklin,OH,43219,US,US/Eastern,KCMH,2016-09-29 16:09:00,61.0,,100.0,30.06,2.0,West,5.8,0.18,Heavy Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-231997,Source2,3,2016-12-20 09:55:08,2016-12-20 10:39:46,38.656902,-77.279488,,,0.01,Left hand shoulder closed due to accident on I-95 Northbound at Exits 158 158A 158B VA-294 Prince William Pkwy.,I-95 N,Woodbridge,Prince William,VA,22192,US,US/Eastern,KDAA,2016-12-20 09:58:00,32.0,,48.0,30.59,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-242314,Source2,3,2016-11-16 13:10:45,2016-11-16 13:40:20,39.867451,-75.343452,,,0.01,Lane blocked due to accident on I-95 Northbound at Exit 7 I-476.,I-95 N,Woodlyn,Delaware,PA,19094,US,US/Eastern,KPHL,2016-11-16 12:54:00,62.1,,38.0,29.79,10.0,WSW,16.1,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-245217,Source2,2,2016-09-12 17:22:58,2016-09-12 17:52:58,40.040690999999995,-76.29538000000002,,,0.0,Accident on PA-462 Orange St at Ann St.,N Ann St,Lancaster,Lancaster,PA,17602-3041,US,US/Eastern,KLNS,2016-09-12 16:53:00,80.1,,32.0,30.18,10.0,SSW,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-246367,Source2,3,2016-09-20 10:17:41,2016-09-20 10:47:19,40.659451000000004,-80.091164,,,0.0,Delays due to accident on I-79 Northbound between Exit 73 PA-910 Wexford Bayne Rd and Exit 76 US-19 Perry Hwy.,I-79 N,Warrendale,Allegheny,PA,15086,US,US/Eastern,KBTP,2016-09-20 10:15:00,71.6,,69.0,30.23,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-246409,Source2,2,2016-09-20 16:09:51,2016-09-20 16:38:20,40.085468,-75.125038,,,0.0,Accident on Meetinghouse Rd at PA-73 Township Line Rd.,Township Line Rd,Elkins Park,Montgomery,PA,19027,US,US/Eastern,KPNE,2016-09-20 15:54:00,82.0,,62.0,30.1,10.0,East,3.5,,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-248530,Source2,3,2016-10-04 07:30:30,2016-10-04 08:15:06,39.202732,-76.63153100000002,,,0.0,Right hand shoulder blocked due to accident on I-695 Northbound at Exit 4 I-97.,I-695 W,Brooklyn,Anne Arundel,MD,21225,US,US/Eastern,KDMH,2016-10-04 07:54:00,62.1,,75.0,30.22,,North,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-252393,Source2,2,2016-08-10 22:06:51,2016-08-10 23:21:51,40.072792,-75.15593,,,0.0,Accident on PA-309 Cheltenham Ave at 79th Ave.,W Cheltenham Ave,Philadelphia,Philadelphia,PA,19150-1421,US,US/Eastern,KLOM,2016-08-10 22:15:00,80.6,,74.0,30.13,10.0,SSW,5.8,,Clear,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-252898,Source2,2,2016-08-15 14:22:33,2016-08-15 14:52:33,40.104519,-77.033615,,,0.0,Accident on PA-74 Baltimore St both ways from Franklin St to Butler St.,Butler St,Dillsburg,York,PA,17019,US,US/Eastern,KCXY,2016-08-15 13:56:00,88.0,,49.0,30.19,10.0,Variable,4.6,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-254606,Source2,2,2016-08-27 21:44:27,2016-08-27 22:14:27,39.977886,-76.690224,,,0.0,Accident on Industrial Hwy between SR 2005 Memory Ln and Rockburn St.,Industrial Hwy,York,York,PA,17402-2219,US,US/Eastern,KTHV,2016-08-27 21:53:00,70.0,,90.0,30.2,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-259073,Source2,2,2016-07-14 13:37:02,2016-07-14 14:07:02,40.090271,-75.359673,,,0.0,Accident on Henderson Rd at Saulin Blvd.,S Henderson Rd,King Of Prussia,Montgomery,PA,19406-2408,US,US/Eastern,KLOM,2016-07-14 13:35:00,86.0,,70.0,29.86,10.0,SSW,9.2,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-267486,Source2,3,2016-12-30 14:54:10,2016-12-30 15:55:00,32.590065,-96.82223499999999,,,0.01,#2 / #3 lane blocked due to accident on I-35E Northbound at Exits 414 415 /FM-1382 Belt Line Rd.,US-77 N,Lancaster,Dallas,TX,75146,US,US/Central,KLNC,2016-12-30 14:55:00,50.2,,37.0,30.25,10.0,South,5.8,,Light Rain,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-273724,Source2,2,2016-10-21 08:06:40,2016-10-21 08:51:30,30.164101000000002,-97.692955,,,0.01,Accident on FM-812 Dee Gabriel Collins Rd at US-183.,Dee Gabriel Collins Rd,Austin,Travis,TX,78744,US,US/Central,KAUS,2016-10-21 07:53:00,54.0,,77.0,30.26,10.0,North,9.2,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
